Initializing Gamepad...
Found Gamepad id: GamepadId(0)
Starting "/home/lancelot/mario.bin"...
0100: 00
0101: c3
0150: c3
0185: 3e
0187: f3
0188: e0
018a: e0
018c: 3e
018e: e0
0190: af
0191: e0
0193: e0
0195: e0
0197: 3e
0199: e0
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
019f: 20
019b: f0
019d: fe
